iter	Passed	Remaining
156	592	3183
157	596	3178
158	599	3168
159	601	3159
160	604	3150
161	607	3145
162	612	3144
163	616	3142
164	619	3135
165	622	3128
166	625	3120
167	628	3111
168	630	3102
169	633	3093
170	636	3084
171	638	3075
172	641	3066
173	644	3058
174	646	3049
175	649	3040
176	652	3033
177	655	3025
178	657	3017
179	660	3009
180	663	3000
181	665	2991
182	668	2984
183	671	2976
184	673	2968
185	676	2960
186	678	2951
187	681	2943
188	684	2935
189	686	2927
190	689	2920
191	692	2912
192	694	2904
193	697	2895
194	699	2889
195	702	2880
196	704	2873
197	707	2865
198	710	2858
199	712	2850
200	715	2843
201	717	2836
202	720	2828
203	723	2821
204	725	2814
205	728	2807
206	731	2800
207	733	2793
208	736	2787
209	739	2780
210	741	2773
211	744	2765
212	746	2758
213	749	2752
214	752	2745
215	754	2739
216	757	2732
217	759	2725
218	762	2718
219	764	2711
220	767	2705
221	769	2698
222	772	2691
223	774	2684
224	777	2678
225	780	2671
226	782	2665
227	785	2658
228	787	2652
229	790	2644
230	792	2638
231	794	2631
232	797	2625
233	800	2619
234	802	2613
235	805	2607
236	808	2602
237	810	2595
238	813	2590
239	816	2584
240	818	2578
241	821	2573
242	824	2567
243	826	2561
244	829	2555
245	831	2549
246	834	2543
247	836	2537
248	839	2532
249	842	2526
250	844	2521
251	847	2515
252	850	2509
253	852	2504
254	855	2498
255	858	2493
256	860	2488
257	863	2482
258	865	2477
259	868	2472
260	871	2467
261	873	2461
262	876	2456
263	879	2450
264	881	2445
265	884	2440
266	886	2434
267	889	2429
268	892	2424
269	894	2419
270	897	2413
271	899	2408
272	902	2403
273	905	2398
274	907	2393
275	910	2389
276	913	2384
277	916	2379
278	918	2373
279	921	2368
280	923	2363
281	926	2357
282	928	2353
283	931	2348
284	934	2343
285	937	2339
286	940	2335
287	942	2330
288	945	2326
289	948	2322
290	951	2317
291	953	2312
292	956	2307
293	958	2302
294	961	2297
295	964	2293
296	966	2288
297	969	2284
298	972	2279
299	974	2274
300	977	2270
301	980	2266
302	983	2261
303	985	2256
304	988	2252
305	991	2247
306	993	2243
307	996	2238
308	999	2234
309	1001	2229
310	1004	2225
311	1007	2221
312	1010	2218
313	1013	2214
314	1016	2211
315	1019	2207
316	1022	2203
317	1025	2199
318	1028	2195
319	1030	2190
320	1033	2185
321	1035	2180
322	1038	2176
323	1040	2171
324	1043	2167
325	1045	2162
326	1048	2157
327	1051	2153
328	1053	2148
329	1056	2144
330	1058	2140
331	1061	2135
332	1064	2131
333	1066	2127
334	1069	2122
335	1072	2118
336	1074	2114
337	1077	2110
338	1081	2107
339	1083	2103
340	1086	2099
341	1089	2095
342	1091	2091
343	1094	2087
344	1097	2083
345	1100	2079
346	1103	2076
347	1106	2072
348	1108	2067
349	1111	2063
350	1114	2059
351	1117	2056
352	1119	2052
353	1123	2049
354	1125	2045
355	1128	2040
356	1130	2036
357	1133	2033
358	1136	2029
359	1139	2025
360	1141	2021
361	1144	2016
362	1147	2013
363	1149	2009
364	1152	2005
365	1155	2001
366	1158	1997
367	1160	1993
368	1163	1989
369	1166	1985
370	1168	1981
371	1171	1977
372	1173	1972
373	1176	1968
374	1178	1964
375	1181	1960
376	1184	1956
377	1186	1952
378	1189	1948
379	1191	1944
380	1194	1940
381	1196	1936
382	1199	1932
383	1202	1928
384	1204	1924
385	1207	1920
386	1209	1915
387	1212	1911
388	1214	1907
389	1217	1903
390	1219	1899
391	1222	1896
392	1224	1891
393	1227	1888
394	1230	1884
395	1233	1880
396	1235	1876
397	1238	1872
398	1240	1868
399	1243	1865
400	1246	1861
401	1248	1857
402	1251	1853
403	1254	1850
404	1256	1846
405	1259	1842
406	1261	1838
407	1264	1834
408	1266	1830
409	1269	1826
410	1271	1822
411	1274	1818
412	1276	1814
413	1279	1810
414	1281	1806
415	1284	1803
416	1286	1799
417	1289	1795
418	1292	1791
419	1294	1787
420	1296	1783
421	1299	1779
422	1301	1775
423	1304	1772
424	1307	1768
425	1309	1764
426	1312	1760
427	1314	1757
428	1317	1753
429	1319	1749
430	1322	1745
431	1324	1742
432	1327	1738
433	1330	1735
434	1333	1731
435	1335	1728
436	1338	1724
